Gene.Name	Standard.Name	Chromosome	Start.Coordinate	End.Coordinate	Strand	NTE.Length
YAR007C	RFA1	I	156754	158682	-	21
YAR008W	SEN34	I	158879	159793	+	29
YAR014C	BUD14	I	166742	168886	-	5
YAR015W	ADE1	I	169312	170295	+	21
YAR018C	KIN3	I	170396	171703	-	0
YAR019C	CDC15	I	172211	175135	-	0
YAR027W	UIP3	I	183737	184477	+	11
YAR028W	YAR028W	I	184853	185596	+	13
YAR029W	YAR029W	I	186306	186545	+	5
YAR031W	PRM9	I	186836	187732	+	0
YAR033W	MST28	I	188074	188811	+	11
YAR035W	YAT1	I	190151	192256	+	14
YAR042W	SWH1	I	192619	196185	+	0
YBL001C	ECM15	II	237153	237467	-	0
YBL002W	HTB2	II	236492	236887	+	0
YBL003C	HTA2	II	235394	235795	-	1
YBL005W	PDR3	II	217446	220400	+	8
YBL006C	LDB7	II	216587	217135	-	2
YBL007C	SLA1	II	212632	216366	-	0
YBL008W	HIR1	II	209653	212175	+	0
YBL009W	ALK2	II	207179	209224	+	5
YBL010C	YBL010C	II	206107	206949	-	0
YBL011W	SCT1	II	203538	205817	+	0
YBL013W	FMT1	II	202047	203261	+	3
YBL014C	RRN6	II	199064	201754	-	2
YBL015W	ACH1	II	194122	195702	+	0
YBL016W	FUS3	II	192406	193512	+	15
YBL017C	PEP1	II	186844	191583	-	0
YBL018C	POP8	II	185998	186474	-	0
YBL019W	APN2	II	184353	185915	+	0
YBL020W	RFT1	II	182401	184125	+	0
YBL022C	PIM1	II	177874	181275	-	0
YBL023C	MCM2	II	174920	177529	-	1
YBL024W	NCL1	II	172528	174588	+	2
YBL025W	RRN10	II	171463	171918	+	6
YBL026W	LSM2	II	170554	171038	+	23
YBL027W	RPL19B	II	168423	169376	+	0
YBL028C	YBL028C	II	167518	167841	-	1
YBL029C-A	YBL029C-A	II	164488	164823	-	17
YBL030C	PET9	II	163041	164003	-	2
YBL031W	SHE1	II	161684	162715	+	5
YBL032W	HEK2	II	160136	161329	+	16
YBL033C	RIB1	II	158656	159717	-	8
YBL035C	POL12	II	151493	153625	-	5
YBL037W	APL3	II	147209	150286	+	0
YBL038W	MRPL16	II	146142	146885	+	15
YBL039C	URA7	II	143989	145728	-	0
YBL039W-B	YBL039W-B	II	143375	143572	+	6
YBL040C	ERD2	II	142112	142868	-	0
YBL042C	FUI1	II	138341	140260	-	0
YBL043W	ECM13	II	136667	137461	+	7
YBL045C	COR1	II	134143	135516	-	0
YBL046W	PSY4	II	132424	133749	+	0
YBL047C	EDE1	II	127895	132040	-	0
YBL049W	MOH1	II	126828	127244	+	0
YBL050W	SEC17	II	125125	126119	+	0
YBL051C	PIN4	II	122753	124759	-	0
YBL052C	SAS3	II	119379	121877	-	1
YBL054W	TOD6	II	117589	119166	+	0
YBL055C	YBL055C	II	115573	116862	-	11
YBL056W	PTC3	II	113762	115168	+	0
YBL057C	PTH2	II	112801	113427	-	0
YBL058W	SHP1	II	111437	112708	+	0
YBL059C-A	CMC2	II	110125	110539	-	0
YBL060W	YEL1	II	107932	109995	+	0
YBL061C	SKT5	II	105316	107406	-	0
YBL063W	KIP1	II	101886	105221	+	0
YBL064C	PRX1	II	100371	101156	-	0
YBL066C	SEF1	II	96669	100154	-	13
YBL067C	UBP13	II	93639	95912	-	10
YBL068W	PRS4	II	92414	93394	+	0
YBL069W	AST1	II	90741	92030	+	0
YBL071C	YBL071C	II	90223	90531	-	0
YBL071W-A	KTI11	II	89978	90226	+	0
YBL072C	RPS8A	II	88523	89125	-	0
YBL074C	AAR2	II	86722	87810	-	7
YBL075C	SSA3	II	84499	86463	-	5
YBL078C	ATG8	II	80378	80746	-	5
YBL079W	NUP170	II	75253	79767	+	2
YBL081W	YBL081W	II	71857	72972	+	3
YBL082C	ALG3	II	69751	71127	-	0
YBL085W	BOI1	II	63876	66818	+	0
YBL086C	YBL086C	II	61202	62602	-	0
YBL087C	RPL23A	II	59822	60742	-	1
YBL089W	AVT5	II	49526	50953	+	16
YBL090W	MRP21	II	48816	49358	+	3
YBL091C	MAP2	II	47363	48628	-	0
YBL091C-A	SCS22	II	46565	47180	-	0
YBL092W	RPL32	II	45978	46370	+	0
YBL093C	ROX3	II	44256	44963	-	15
YBL095W	MRX3	II	43265	44089	+	4
YBL097W	BRN1	II	40831	43095	+	0
YBL099W	ATP1	II	37050	38690	+	1
YBL101C	ECM21	II	24946	28341	-	14
YBL103C	RTG3	II	22076	23536	-	0
YBL104C	SEA4	II	18177	21299	-	2
YBL105C	PKC1	II	14241	17696	-	0
YBL106C	SRO77	II	10847	13879	-	0
YBL107C	MIX23	II	9961	10551	-	0
YBR001C	NTH2	II	238941	241319	-	12
YBR002C	RER2	II	241708	242568	-	0
YBR003W	COQ1	II	242791	244230	+	6
YBR005W	RCR1	II	245906	246547	+	0
YBR006W	UGA2	II	247010	248503	+	0
YBR007C	DSF2	II	248806	251043	-	9
YBR008C	FLR1	II	252563	254224	-	5
YBR010W	HHT1	II	256322	256741	+	3
YBR011C	IPP1	II	257112	257975	-	0
YBR013C	YBR013C	II	265492	265920	-	13
YBR014C	GRX7	II	266725	267336	-	0
YBR015C	MNN2	II	267710	269503	-	0
YBR016W	YBR016W	II	270226	270633	+	7
YBR017C	KAP104	II	270947	273709	-	2
YBR018C	GAL7	II	274427	275545	-	6
YBR021W	FUR4	II	281440	283344	+	1
YBR022W	POA1	II	283738	284271	+	0
YBR023C	CHS3	II	284428	287946	-	7
YBR024W	SCO2	II	289445	290350	+	0
YBR025C	OLA1	II	290681	291865	-	0
YBR026C	ETR1	II	292877	294019	-	0
YBR028C	YPK3	II	294425	296029	-	9
YBR029C	CDS1	II	296369	297766	-	8
YBR030W	RKM3	II	298292	299950	+	0
YBR031W	RPL4A	II	300157	301254	+	3
YBR033W	EDS1	II	301944	304703	+	0
YBR034C	HMT1	II	304930	305994	-	6
YBR035C	PDX3	II	306269	306961	-	2
YBR036C	CSG2	II	309081	310313	-	0
YBR037C	SCO1	II	310565	311452	-	0
YBR038W	CHS2	II	311871	314789	+	9
YBR039W	ATP3	II	315575	316510	+	0
YBR041W	FAT1	II	318251	320275	+	5
YBR042C	CST26	II	320416	321639	-	10
YBR043C	QDR3	II	321876	323951	-	2
YBR044C	TCM62	II	324341	326086	-	9
YBR045C	GIP1	II	328173	330095	-	1
YBR046C	ZTA1	II	330507	331532	-	7
YBR047W	FMP23	II	331821	332360	+	4
YBR048W	RPS11B	II	332831	333812	+	0
YBR049C	REB1	II	334386	336824	-	2
YBR050C	REG2	II	337183	338298	-	33
YBR052C	RFS1	II	338720	339355	-	1
YBR053C	YBR053C	II	339675	340751	-	0
YBR054W	YRO2	II	343071	344135	+	10
YBR055C	PRP6	II	344602	347301	-	0
YBR056W	YBR056W	II	347870	349384	+	3
YBR056W-A	YBR056W-A	II	351228	351455	+	9
YBR057C	MUM2	II	352193	353329	-	12
YBR058C	UBP14	II	353672	356017	-	0
YBR058C-A	TSC3	II	356324	356566	-	0
YBR059C	AKL1	II	356861	360193	-	2
YBR060C	ORC2	II	360652	362577	-	21
YBR061C	TRM7	II	364787	365719	-	0
YBR062C	YBR062C	II	365976	366618	-	6
YBR065C	ECM2	II	368584	369708	-	10
YBR066C	NRG2	II	370037	370699	-	0
YBR067C	TIP1	II	372103	372735	-	0
YBR068C	BAP2	II	373861	375702	-	4
YBR069C	TAT1	II	376574	378433	-	0
YBR070C	ALG14	II	379221	379943	-	3
YBR071W	YBR071W	II	380378	381046	+	11
YBR072W	HSP26	II	381970	382674	+	20
YBR073W	RDH54	II	383106	385988	+	2
YBR074W	PFF1	II	386286	389216	+	0
YBR076W	ECM8	II	390227	391291	+	0
YBR078W	ECM33	II	393123	394742	+	0
YBR079C	RPG1	II	395383	398283	-	2
YBR080C	SEC18	II	398614	400914	-	8
YBR081C	SPT7	II	401253	405254	-	1
YBR082C	UBC4	II	406628	407181	-	4
YBR083W	TEC1	II	409169	410629	+	0
YBR084C-A	RPL19A	II	414186	415282	-	7
YBR084W	MIS1	II	411054	413981	+	0
YBR085C-A	YBR085C-A	II	418907	419182	-	6
YBR085W	AAC3	II	415983	416906	+	0
YBR086C	IST2	II	420201	423041	-	0
YBR087W	RFC5	II	423765	424829	+	0
YBR088C	POL30	II	424990	425766	-	0
YBR089C-A	NHP6B	II	426190	426513	-	8
YBR091C	TIM12	II	427155	427511	-	9
YBR092C	PHO3	II	427698	429101	-	0
YBR093C	PHO5	II	429548	430978	-	9
YBR094W	PBY1	II	431988	434297	+	16
YBR095C	RXT2	II	434406	435710	-	4
YBR096W	YBR096W	II	436018	436713	+	1
YBR097W	VPS15	II	436894	441315	+	19
YBR098W	MMS4	II	441515	443590	+	0
YBR101C	FES1	II	443821	444699	-	2
YBR102C	EXO84	II	445062	447323	-	0
YBR103W	SIF2	II	447697	449316	+	4
YBR104W	YMC2	II	449667	450656	+	0
YBR105C	VID24	II	450881	451969	-	0
YBR106W	PHO88	II	452625	453224	+	11
YBR107C	IML3	II	453793	454560	-	10
YBR108W	AIM3	II	454822	457665	+	0
YBR109C	CMD1	II	457919	458362	-	0
YBR110W	ALG1	II	458866	460221	+	2
YBR111C	YSA1	II	461178	461873	-	0
YBR111W-A	SUS1	II	462121	462579	+	6
YBR112C	CYC8	II	462870	465797	-	9
YBR114W	RAD16	II	467245	469620	+	1
YBR115C	LYS2	II	469748	473947	-	7
YBR117C	TKL2	II	474392	476437	-	0
YBR118W	TEF2	II	477671	479047	+	0
YBR119W	MUD1	II	479296	480323	+	14
YBR120C	CBP6	II	480435	480986	-	21
YBR121C	GRS1	II	481364	483397	-	10
YBR122C	MRPL36	II	483970	484521	-	6
YBR123C	TFC1	II	484742	486736	-	15
YBR125C	PTC4	II	487199	488503	-	41
YBR126C	TPS1	II	488905	490392	-	0
YBR127C	VMA2	II	491269	492837	-	5
YBR128C	ATG14	II	493081	494115	-	0
YBR129C	OPY1	II	494353	495384	-	15
YBR130C	SHE3	II	495592	496890	-	7
YBR131W	CCZ1	II	497157	499277	+	2
YBR132C	AGP2	II	499652	501451	-	3
YBR133C	HSL7	II	501804	504368	-	27
YBR135W	CKS1	II	504821	505306	+	11
YBR137W	YBR137W	II	513011	513583	+	11
YBR138C	YBR138C	II	513762	515336	-	0
YBR139W	YBR139W	II	515664	517190	+	0
YBR141C	BMT2	II	527025	528038	-	0
YBR142W	MAK5	II	528299	530638	+	6
YBR143C	SUP45	II	530869	532206	-	8
YBR145W	ADH5	II	533759	534817	+	1
YBR146W	MRPS9	II	535224	536096	+	12
YBR147W	RTC2	II	536566	537465	+	3
YBR148W	YSW1	II	537840	539705	+	12
YBR149W	ARA1	II	539984	541021	+	1
YBR150C	TBS1	II	541209	544493	-	0
YBR151W	APD1	II	545025	545978	+	1
YBR152W	SPP381	II	546376	547251	+	0
YBR153W	RIB7	II	547403	548194	+	19
YBR154C	RPB5	II	548362	549009	-	0
YBR155W	CNS1	II	549753	550928	+	6
YBR156C	SLI15	II	551104	553200	-	0
YBR158W	AMN1	II	556549	558198	+	0
YBR159W	IFA38	II	558685	559728	+	0
YBR160W	CDC28	II	560078	560974	+	0
YBR161W	CSH1	II	561631	562764	+	1
YBR162C	TOS1	II	563203	564579	-	3
YBR162W-A	YSY6	II	565231	565428	+	0
YBR163W	EXO5	II	565681	567480	+	14
YBR164C	ARL1	II	567875	568432	-	2
YBR165W	UBS1	II	568834	569685	+	6
YBR166C	TYR1	II	569842	571236	-	12
YBR167C	POP7	II	571468	572037	-	49
YBR168W	PEX32	II	572338	573612	+	11
YBR169C	SSE2	II	573915	575996	-	0
YBR170C	NPL4	II	576344	578086	-	0
YBR172C	SMY2	II	579150	581432	-	20
YBR173C	UMP1	II	581726	582181	-	3
YBR175W	SWD3	II	582408	583355	+	0
YBR176W	ECM31	II	583654	584658	+	22
YBR177C	EHT1	II	584807	586177	-	5
YBR179C	FZO1	II	586547	589117	-	1
YBR181C	RPS6B	II	591712	592777	-	1
YBR182C	SMP1	II	593506	594864	-	0
YBR182C-A	YBR182C-A	II	595361	595570	-	5
YBR183W	YPC1	II	596115	597065	+	0
YBR184W	YBR184W	II	597363	598934	+	0
YBR185C	MBA1	II	599123	599959	-	0
YBR187W	GDT1	II	602562	603476	+	24
YBR188C	NTC20	II	603685	604155	-	16
YBR189W	RPS9B	II	604508	605508	+	0
YBR191W	RPL21A	II	606270	607140	+	0
YBR192W	RIM2	II	607646	608785	+	2
YBR193C	MED8	II	609082	609762	-	3
YBR194W	AIM4	II	610008	610409	+	10
YBR195C	MSI1	II	610614	611918	-	12
YBR196C	PGI1	II	612236	613900	-	0
YBR197C	YBR197C	II	615203	615859	-	1
YBR198C	TAF5	II	616127	618529	-	2
YBR199W	KTR4	II	618897	620303	+	4
YBR200W	BEM1	II	620872	622527	+	0
YBR201C-A	YBR201C-A	II	624493	624729	-	11
YBR202W	MCM7	II	625754	628309	+	6
YBR203W	COS111	II	629168	631942	+	0
YBR204C	LDH1	II	632254	633387	-	2
YBR205W	KTR3	II	633601	634836	+	7
YBR207W	FTH1	II	635122	636543	+	8
YBR210W	ERV15	II	645514	645978	+	12
YBR212W	NGR1	II	647829	649904	+	19
YBR213W	MET8	II	650368	651192	+	0
YBR214W	SDS24	II	651382	652998	+	11
YBR215W	HPC2	II	653338	655317	+	6
YBR216C	YBP1	II	655576	657600	-	0
YBR217W	ATG12	II	657832	658392	+	0
YBR221C	PDB1	II	665153	666307	-	18
YBR222C	PCS60	II	666720	668369	-	6
YBR223C	TDP1	II	668663	670297	-	0
YBR225W	YBR225W	II	670627	673329	+	0
YBR227C	MCX1	II	673572	675134	-	0
YBR228W	SLX1	II	675313	676227	+	0
YBR229C	ROT2	II	676357	679221	-	0
YBR230W-A	YBR230W-A	II	680362	680562	+	0
YBR231C	SWC5	II	682179	683090	-	0
YBR233W	PBP2	II	683410	684669	+	6
YBR233W-A	DAD3	II	684977	685261	+	0
YBR234C	ARC40	II	685438	686631	-	13
YBR235W	VHC1	II	686901	690263	+	0
YBR236C	ABD1	II	690383	691693	-	0
YBR237W	PRP5	II	691969	694518	+	0
YBR238C	YBR238C	II	695107	697359	-	19
YBR239C	ERT1	II	698354	699952	-	3
YBR240C	THI2	II	700490	701842	-	0
YBR241C	YBR241C	II	702589	704055	-	0
YBR242W	YBR242W	II	704640	705386	+	10
YBR244W	GPX2	II	707528	708016	+	0
YBR246W	RRT2	II	711579	712754	+	4
YBR247C	ENP1	II	713004	714476	-	7
YBR248C	HIS7	II	714807	716510	-	15
YBR249C	ARO4	II	716882	718054	-	20
YBR250W	SPO23	II	719033	720604	+	0
YBR251W	MRPS5	II	721390	722313	+	0
YBR252W	DUT1	II	722611	723054	+	0
YBR253W	SRB6	II	723270	723635	+	0
YBR254C	TRS20	II	723736	724269	-	2
YBR255C-A	RCF3	II	726618	727074	-	0
YBR255W	MTC4	II	724456	726540	+	0
YBR256C	RIB5	II	727386	728102	-	0
YBR257W	POP4	II	728852	729724	+	11
YBR258C	SHG1	II	729734	730171	-	3
YBR259W	YBR259W	II	730381	732453	+	2
YBR260C	RGD1	II	732639	734648	-	3
YBR261C	TAE1	II	734832	735533	-	1
YBR262C	MIC12	II	735720	736055	-	5
YBR263W	SHM1	II	736240	737736	+	8
YBR265W	TSC10	II	738582	739544	+	0
YBR267W	REI1	II	739841	741022	+	0
YBR268W	MRPL37	II	741299	741616	+	0
YBR269C	SDH8	II	742160	742576	-	0
YBR270C	BIT2	II	742761	744398	-	0
YBR271W	EFM2	II	744852	746111	+	0
YBR272C	HSM3	II	746361	747803	-	0
YBR273C	UBX7	II	748061	749398	-	9
YBR274W	CHK1	II	749561	751177	+	11
YBR276C	PPS1	II	757620	760043	-	0
YBR278W	DPB3	II	760294	760899	+	0
YBR279W	PAF1	II	761257	762594	+	0
YBR280C	SAF1	II	762784	764712	-	5
YBR281C	DUG2	II	764970	767639	-	11
YBR282W	MRPL27	II	768231	768680	+	3
YBR283C	SSH1	II	768943	770475	-	20
YBR284W	YBR284W	II	771227	773632	+	4
YBR285W	YBR285W	II	773916	774356	+	2
YBR286W	APE3	II	774691	776313	+	3
YBR287W	YBR287W	II	776550	777854	+	7
YBR288C	APM3	II	778012	779463	-	0
YBR289W	SNF5	II	779667	782384	+	0
YBR290W	BSD2	II	782591	783556	+	0
YBR291C	CTP1	II	783673	784587	-	5
YBR293W	VBA2	II	786907	788430	+	33
YBR295W	PCA1	II	792837	796499	+	4
YBR296C	PHO89	II	796798	798522	-	0
YBR297W	MAL33	II	800484	801929	+	13
YBR301W	PAU24	II	808982	809419	+	25
YCL001W	RER1	III	111916	112482	+	0
YCL002C	YCL002C	III	110808	111684	-	3
YCL004W	PGS1	III	109105	110670	+	0
YCL005W-A	VMA9	III	106999	107417	+	8
YCL008C	STP22	III	105696	106856	-	1
YCL009C	ILV6	III	104619	105548	-	0
YCL010C	SGF29	III	103571	104368	-	6
YCL011C	GBP2	III	102075	103448	-	30
YCL012C	YCL012C	III	101317	101803	-	5
YCL016C	DCC1	III	94621	95763	-	0
YCL017C	NFS1	III	92777	94270	-	0
YCL021W-A	YCL021W-A	III	83620	83997	+	0
YCL024W	KCC4	III	79090	82275	+	24
YCL025C	AGP1	III	76018	77919	-	0
YCL026C-A	FRM2	III	74704	75357	-	24
YCL026C-B	HBN1	III	73405	74013	-	9
YCL027W	FUS1	III	71782	73341	+	7
YCL028W	RNQ1	III	70150	71367	+	0
YCL029C	BIK1	III	68599	69921	-	0
YCL030C	HIS4	III	65934	68336	-	1
YCL031C	RRP7	III	64675	65583	-	5
YCL032W	STE50	III	63429	64481	+	4
YCL033C	MXR2	III	62776	63282	-	0
YCL034W	LSB5	III	61634	62722	+	8
YCL035C	GRX1	III	60841	61218	-	15
YCL036W	GFD2	III	59026	60726	+	0
YCL037C	SRO9	III	57374	58744	-	22
YCL038C	ATG22	III	54941	56545	-	6
YCL039W	GID7	III	52645	54882	+	0
YCL040W	GLK1	III	50826	52340	+	4
YCL043C	PDI1	III	48653	50233	-	4
YCL044C	MGR1	III	47111	48364	-	0
YCL045C	EMC1	III	44623	46941	-	12
YCL048W	SPS22	III	42117	43556	+	16
YCL049C	YCL049C	III	39786	40745	-	7
YCL050C	APA1	III	37836	38843	-	14
YCL051W	LRE1	III	35817	37616	+	16
YCL052C	PBN1	III	34143	35393	-	0
YCL054W	SPB1	III	31449	33974	+	0
YCL055W	KAR4	III	27923	28936	+	2
YCL056C	PEX34	III	26925	27359	-	0
YCL057C-A	MIC10	III	24032	24325	-	0
YCL057W	PRD1	III	24768	26906	+	0
YCL058W-A	ADF1	III	23584	23925	+	0
YCL059C	KRR1	III	22429	23382	-	1
YCL061C	MRC1	III	18816	22133	-	9
YCL063W	VAC17	III	17290	18561	+	0
YCL064C	CHA1	III	15798	16880	-	0
YCR002C	CDC10	III	117380	118360	-	4
YCR003W	MRPL32	III	118620	119171	+	0
YCR004C	YCP4	III	119575	120324	-	2
YCR005C	CIT2	III	120946	122349	-	7
YCR007C	YCR007C	III	126011	126802	-	24
YCR008W	SAT4	III	128416	130281	+	18
YCR009C	RVS161	III	130745	131542	-	0
YCR011C	ADP1	III	133724	136873	-	0
YCR012W	PGK1	III	137746	138996	+	0
YCR015C	CTO1	III	141217	142179	-	3
YCR016W	YCR016W	III	143634	144506	+	0
YCR017C	CWH43	III	144773	147634	-	0
YCR019W	MAK32	III	152822	153928	+	5
YCR020C	PET18	III	154012	154674	-	5
YCR020C-A	MAK31	III	154830	155096	-	0
YCR020W-B	HTL1	III	155320	155556	+	0
YCR021C	HSP30	III	156109	157134	-	9
YCR023C	YCR023C	III	158538	160388	-	5
YCR024C	SLM5	III	160744	162222	-	0
YCR024C-A	PMP1	III	162945	163067	-	0
YCR026C	NPP1	III	164111	166339	-	0
YCR027C	RHB1	III	167370	168071	-	24
YCR028C	FEN2	III	170886	172424	-	0
YCR028C-A	RIM1	III	172950	173446	-	2
YCR030C	SYP1	III	173826	176438	-	0
YCR031C	RPS14A	III	177500	178220	-	0
YCR034W	ELO2	III	190592	191635	+	0
YCR035C	RRP43	III	191834	193027	-	3
YCR036W	RBK1	III	193297	194298	+	0
YCR037C	PHO87	III	194414	197185	-	0
YCR038C	BUD5	III	197621	199549	-	0
YCR043C	YCR043C	III	206261	206644	-	0
YCR045C	RRT12	III	208135	209742	-	44
YCR046C	IMG1	III	209914	210429	-	2
YCR047C	BUD23	III	210718	211560	-	5
YCR048W	ARE1	III	211920	213761	+	3
YCR051W	YCR051W	III	214071	214739	+	0
YCR052W	RSC6	III	214961	216445	+	11
YCR053W	THR4	III	216661	218241	+	12
YCR054C	CTR86	III	218376	220073	-	2
YCR057C	PWP2	III	220457	223234	-	2
YCR059C	YIH1	III	223454	224230	-	0
YCR060W	TAH1	III	224387	224734	+	4
YCR061W	YCR061W	III	225551	227458	+	4
YCR063W	BUD31	III	228318	228791	+	0
YCR065W	HCM1	III	229286	231004	+	8
YCR066W	RAD18	III	231458	232963	+	14
YCR067C	SED4	III	233125	236412	-	30
YCR068W	ATG15	III	237214	238776	+	0
YCR069W	CPR4	III	239004	240011	+	17
YCR071C	IMG2	III	240103	240543	-	0
YCR072C	RSA4	III	240805	242352	-	0
YCR073C	SSK22	III	242588	246589	-	2
YCR075C	ERS1	III	248033	248827	-	4
YCR075W-A	EGO2	III	248975	249202	+	0
YCR076C	FUB1	III	249293	250045	-	0
YCR077C	PAT1	III	250238	252628	-	0
YCR079W	PTC6	III	252845	254173	+	0
YCR082W	AHC2	III	258883	259269	+	0
YCR083W	TRX3	III	259578	259961	+	0
YCR084C	TUP1	III	260311	262464	-	4
YCR086W	CSM1	III	263392	263964	+	0
YCR087C-A	YCR087C-A	III	264006	264467	-	0
YCR088W	ABP1	III	265062	266846	+	2
YCR090C	YCR090C	III	272315	272890	-	9
YCR091W	KIN82	III	274353	276566	+	17
YCR092C	MSH3	III	276764	279844	-	8
YCR094W	CDC50	III	286756	287937	+	2
YCR095C	OCA4	III	288170	289261	-	1
YCR097W	HMRA1	III	293835	294321	+	0
YCR098C	GIT1	III	297049	298605	-	0
YCR102C	YCR102C	III	304361	305479	-	4
YCR104W	PAU3	III	307705	308175	+	32
YCR106W	RDS1	III	310955	313456	+	1
YDL001W	RMD1	IV	447948	449276	+	12
YDL002C	NHP10	IV	446967	447578	-	0
YDL003W	MCD1	IV	444611	446383	+	24
YDL004W	ATP16	IV	443029	443511	+	0
YDL005C	MED2	IV	441014	442318	-	3
YDL006W	PTC1	IV	439819	440754	+	30
YDL007W	RPT2	IV	438035	439360	+	4
YDL010W	GRX6	IV	432327	433025	+	1
YDL012C	YDL012C	IV	431108	431517	-	0
YDL013W	SLX5	IV	429007	430926	+	20
YDL014W	NOP1	IV	427364	428347	+	0
YDL015C	TSC13	IV	426002	426979	-	15
YDL017W	CDC7	IV	424203	425732	+	2
YDL018C	ERP3	IV	422833	423510	-	0
YDL020C	RPN4	IV	415113	416711	-	1
YDL021W	GPM2	IV	413953	414888	+	0
YDL022W	GPD1	IV	411771	413000	+	18
YDL024C	DIA3	IV	408451	409857	-	0
YDL025C	RTK1	IV	405344	407218	-	4
YDL027C	MRX9	IV	403695	404957	-	0
YDL028C	MPS1	IV	400997	403321	-	10
YDL029W	ARP2	IV	399334	400638	+	2
YDL030W	PRP9	IV	397528	399129	+	3
YDL033C	SLM3	IV	392659	393945	-	11
YDL035C	GPR1	IV	389172	392081	-	8
YDL036C	PUS9	IV	387513	388901	-	0
YDL037C	BSC1	IV	384601	385587	-	0
YDL040C	NAT1	IV	378874	381438	-	0
YDL042C	SIR2	IV	376757	378445	-	0
YDL043C	PRP11	IV	375680	376495	-	5
YDL044C	MTF2	IV	373967	375289	-	0
YDL045C	FAD1	IV	372688	373623	-	5
YDL045W-A	MRP10	IV	372248	372535	+	0
YDL046W	NPC2	IV	371207	371761	+	11
YDL047W	SIT4	IV	369750	370706	+	7
YDL048C	STP4	IV	366739	368223	-	4
YDL049C	KNH1	IV	365068	365892	-	6
YDL051W	LHP1	IV	363937	364779	+	5
YDL052C	SLC1	IV	362672	363634	-	17
YDL053C	PBP4	IV	361699	362256	-	0
YDL054C	MCH1	IV	359825	361345	-	20
YDL055C	PSA1	IV	355674	356759	-	0
YDL056W	MBP1	IV	352811	355378	+	22
YDL057W	YDL057W	IV	351413	352420	+	7
YDL059C	RAD59	IV	344237	344956	-	1
YDL061C	RPS29B	IV	340628	340798	-	0
YDL063C	SYO1	IV	338272	340221	-	29
YDL064W	UBC9	IV	337463	338070	+	8
YDL065C	PEX19	IV	336249	337292	-	5
YDL066W	IDP1	IV	334835	336121	+	0
YDL067C	COX9	IV	334217	334396	-	0
YDL069C	CBS1	IV	333121	333834	-	8
YDL070W	BDF2	IV	331024	332940	+	0
YDL072C	YET3	IV	329836	330450	-	1
YDL073W	AHK1	IV	326613	329567	+	0
YDL075W	RPL31A	IV	322196	322988	+	10
YDL076C	RXT3	IV	320668	321621	-	23
